breed,allergy,size,grooming,energy,kids,trainability
Miniature Schnauzer,yes,medium,Specialty/Professional,apartment,yes,yes
Mountain Cur,no,medium,Occasional Bath/Brush,home,no,no
Mudi,yes,medium,Occasional Bath/Brush,home,no,yes
Neapolitan Mastiff,no,big,Weekly Brushing,apartment,no,no
Nederlandse Kooikerhondje,no,medium,Weekly Brushing,apartment,no,yes
Newfoundland,no,big,Weekly Brushing,apartment,yes,yes
Norfolk Terrier,no,small,Weekly Brushing,apartment,yes,no
Norrbottenspets,yes,medium,Weekly Brushing,home,yes,yes
Norwegian Buhund,no,medium,Weekly Brushing,home,yes,yes
Norwegian Elkhound,no,medium,Weekly Brushing,apartment,yes,no
Norwegian Lundehund,no,medium,Weekly Brushing,home,no,no
Norwich Terrier,no,small,Weekly Brushing,home,yes,no
Nova Scotia Duck Tolling Retriever,no,medium,Weekly Brushing,home,yes,yes
Old English Sheepdog,no,medium,2-3 Times a Week Brushing,apartment,yes,no
Otterhound,no,medium,Weekly Brushing,apartment,yes,no
Papillon,no,small,Weekly Brushing,apartment,yes,yes
Parson Russell Terrier,yes,medium,Weekly Brushing,home,yes,no
Pekingese,no,small,2-3 Times a Week Brushing,apartment,no,no
Pembroke Welsh Corgi,no,small,Weekly Brushing,home,yes,no
Perro de Presa Canario,no,medium,Occasional Bath/Brush,apartment,yes,no
Peruvian Inca Orchid,no,small,Occasional Bath/Brush,home,no,no
Petit Basset Griffon Vend̩en,yes,medium,Weekly Brushing,home,yes,no
Pharaoh Hound,no,medium,Weekly Brushing,home,no,no
Plott Hound,yes,medium,Occasional Bath/Brush,home,yes,no
Pointer,yes,big,Weekly Brushing,home,yes,no
Polish Lowland Sheepdog,no,medium,Daily Brushing,home,no,no
Pomeranian,no,small,2-3 Times a Week Brushing,apartment,yes,no
Poodle (Miniature),yes,medium,Specialty/Professional,apartment,yes,yes
Poodle (Standard),yes,medium,Specialty/Professional,apartment,yes,yes
Poodle (Toy),yes,small,Specialty/Professional,apartment,yes,yes
Porcelaine,no,medium,Occasional Bath/Brush,home,yes,yes
Portuguese Podengo,no,big,Weekly Brushing,home,no,no
Portuguese Podengo Pequeno,no,small,Weekly Brushing,home,yes,no
Portuguese Pointer,yes,medium,Occasional Bath/Brush,home,yes,yes
Portuguese Sheepdog,yes,medium,Weekly Brushing,home,yes,yes
Portuguese Water Dog,no,medium,Daily Brushing,home,yes,yes
Pudelpointer,no,medium,Occasional Bath/Brush,apartment,yes,yes
Pug,no,small,Weekly Brushing,apartment,yes,no
Puli,yes,medium,Specialty/Professional,apartment,no,no
Pumi,yes,medium,Occasional Bath/Brush,home,yes,yes
Pyrenean Mastiff,no,big,2-3 Times a Week Brushing,apartment,yes,no
Pyrenean Shepherd,no,medium,Weekly Brushing,home,no,no
Rafeiro do Alentejo,no,big,Weekly Brushing,apartment,yes,yes
Rat Terrier,no,medium,Weekly Brushing,apartment,yes,yes
Redbone Coonhound,no,medium,Weekly Brushing,apartment,yes,yes
Rhodesian Ridgeback,no,medium,Weekly Brushing,apartment,yes,no
Romanian Mioritic Shepherd Dog,yes,big,Weekly Brushing,apartment,no,no
Rottweiler,no,medium,Weekly Brushing,apartment,no,no
Russell Terrier,yes,small,Weekly Brushing,home,yes,no
Russian Toy,yes,small,Weekly Brushing,apartment,yes,no
Russian Tsvetnaya Bolonka,yes,small,2-3 Times a Week Brushing,apartment,yes,no
Saint Bernard,no,big,Weekly Brushing,apartment,yes,no
Saluki,yes,big,Occasional Bath/Brush,home,no,no
